rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,command
8.11313581467,,1,,1637196538,287050008,'',"""3"""
10.4636518955,,2,,1637196540,637485027,'',"""4"""
13.4866836071,,3,,1637196543,660536050,'',"""4"""
16.0907769203,,4,,1637196546,264667987,'',"""3"""
17.6366400719,,5,,1637196547,810626983,'',"""3"""
21.8387928009,,6,,1637196552,12696027,'',"""4"""
23.4497210979,,7,,1637196553,623620986,'',"""3"""
26.9929559231,,8,,1637196557,166901111,'',"""3"""
28.9522168636,,9,,1637196559,126148939,'',"""4"""
31.0052878857,,10,,1637196561,179224967,'',"""4"""
33.2911684513,,11,,1637196563,465094089,'',"""3"""
35.2745041847,,12,,1637196565,448426961,'',"""4"""
47.5712344646,,13,,1637196577,745181083,'',"""4"""
49.6753396988,,14,,1637196579,849219083,'',"""4"""
53.1851541996,,15,,1637196583,359090089,'',"""4"""
54.9131731987,,16,,1637196585,87070941,'',"""4"""
56.8950638771,,17,,1637196587,68927049,'',"""3"""
58.5340154171,,18,,1637196588,707911014,'',"""3"""
60.0795428753,,19,,1637196590,253403902,'',"""4"""
61.5402598381,,20,,1637196591,714227914,'',"""3"""
64.2250933647,,21,,1637196594,398956060,'',"""3"""
65.6481392384,,22,,1637196595,821993112,'',"""3"""
68.831959486,,23,,1637196599,5841016,'',"""4"""
71.2379982471,,24,,1637196601,411921024,'',"""3"""
82.509519577,,25,,1637196612,683446884,'',"""3"""
84.3663964272,,26,,1637196614,540208101,'',"""4"""
86.1426978111,,27,,1637196616,316571950,'',"""3"""
87.5348203182,,28,,1637196617,708776950,'',"""4"""
89.1141541004,,29,,1637196619,288115978,'',"""4"""
91.5909516811,,30,,1637196621,764615058,'',"""3"""
94.2895860672,,31,,1637196624,463481903,'',"""3"""
96.6545255184,,32,,1637196626,828430891,'',"""3"""
98.4783084393,,33,,1637196628,652190923,'',"""3"""
100.703886032,,34,,1637196630,877850055,'',"""4"""
103.289152622,,35,,1637196633,463056087,'',"""4"""
106.485689163,,36,,1637196636,659643888,'',"""4"""
119.870200872,,37,,1637196650,44130086,'',"""3"""
121.97470355,,38,,1637196652,148621082,'',"""4"""
123.640258074,,39,,1637196653,814207077,'',"""3"""
125.082566261,,40,,1637196655,256464004,'',"""4"""
127.101109982,,41,,1637196657,274993896,'',"""3"""
128.759896755,,42,,1637196658,933748960,'',"""4"""
130.656698942,,43,,1637196660,830509901,'',"""4"""
133.801754236,,44,,1637196663,975699901,'',"""3"""
135.497791767,,45,,1637196665,671657085,'',"""3"""
139.098217487,,46,,1637196669,272197961,'',"""4"""
140.62746954,,47,,1637196670,801321983,'',"""3"""
144.440946341,,48,,1637196674,614861011,'',"""4"""
